Company,Market Cap
Description,Market Capitalization
Apple Inc.,2728017215293
Microsoft Corporation,2351371643107
Alphabet Inc.,1611856497958
Alphabet Inc.,1610343852181
"Amazon.com, Inc.",1366884251763
NVIDIA Corporation,1069485293976
Berkshire Hathaway Inc. New,768891898463
"Meta Platforms, Inc.",728967239293
"Tesla, Inc.",683964053782
Eli Lilly and Company,518723331656
Visa Inc.,485525515662
UnitedHealth Group Incorporated,461707513407
Johnson & Johnson,448296231871
Exxon Mobil Corporation,440511349736
JP Morgan Chase & Co.,432919527223
Walmart Inc.,425279432050
Mastercard Incorporated,369364486503
Procter & Gamble Company (The),359583481922
Broadcom Inc.,340812095959
"Home Depot, Inc. (The)",329129972182
Oracle Corporation,316102599449
Chevron Corporation,306932521814
"Merck & Company, Inc.",277097314775
AbbVie Inc.,265004108705
Coca-Cola Company (The),263568843499
"PepsiCo, Inc.",245279121127
Costco Wholesale Corporation,241489319696
Adobe Inc.,231605653875
Bank of America Corporation,231318896391
"Cisco Systems, Inc.",224291209687
"Pfizer, Inc.",206980864752
Thermo Fisher Scientific Inc,205471945947
McDonald’s Corporation,205321797459
Accenture plc,201246616516
"Salesforce, Inc.",199504416416
Comcast Corporation,188766086139
Danaher Corporation,185629109809
Linde plc,183028485644
Abbott Laboratories,179973982046
"Netflix, Inc.",179266158431
"Advanced Micro Devices, Inc.",170372551712
"Nike, Inc.",160367096321
"T-Mobile US, Inc.",160162887737
Walt Disney Company (The),157075139070
Wells Fargo & Company,155498290602
Texas Instruments Incorporated,151167305708
Philip Morris International Inc,146479296866
"United Parcel Service, Inc.",146457435764
Morgan Stanley,140659902525
ConocoPhillips,140453676582
Amgen Inc.,140047831256
"Caterpillar, Inc.",139677186754
Verizon Communications Inc.,139490054291
Union Pacific Corporation,137286101364
"NextEra Energy, Inc.",137268524235
Intel Corporation,137157007708
Boeing Company (The),136716081029
Intuit Inc.,136097826356
Bristol-Myers Squibb Company,129649721909
International Business Machines Corporation,128825393714
"Lowe’s Companies, Inc.",128534892552
RTX Corporation,124883190494
Honeywell International Inc.,123881919976
QUALCOMM Incorporated,122871602043
General Electric Company,121669808694
S&P Global Inc.,121552406207
"Applied Materials, Inc.",119798366106
American Express Company,118002804852
Deere & Company,116403156028
"Prologis, Inc.",113828796051
Lockheed Martin Corporation,113339268033
Starbucks Corporation,111367244022
"ServiceNow, Inc.",110628454634
Booking Holdings Inc. Common Stock,109161968068
"Elevance Health, Inc.",109053095545
Medtronic plc.,108454644596
Charles Schwab Corporation (The),108392664416
"Goldman Sachs Group, Inc. (The)",107120020932
Stryker Corporation,105544181735
"Automatic Data Processing, Inc.",103429305077
"TJX Companies, Inc. (The)",102879833860
"Intuitive Surgical, Inc.",100469864749
AT&T Inc.,100443451641
"BlackRock, Inc.",100070096351
"Mondelez International, Inc.",96766517287
"Gilead Sciences, Inc.",94547572998
"Marsh & McLennan Companies, Inc.",93278220336
Vertex Pharmaceuticals Incorporated,88996253919
"Analog Devices, Inc.",88903581159
"Regeneron Pharmaceuticals, Inc.",88178356962
Lam Research Corporation,86522191352
CVS Health Corporation,85810704307
"Eaton Corporation, PLC",85645351950
Zoetis Inc.,83579740494
Schlumberger N.V.,82471424751
American Tower Corporation (REIT),82187878166
Chubb Limited,82105914715
The Cigna Group,81693476157
"Citigroup, Inc.",81360929490
"Becton, Dickinson and Company",79399811792
Progressive Corporation (The),78393735374
"Altria Group, Inc.",76148513926
"EOG Resources, Inc.",76060734193
Southern Company (The),73949967038
Boston Scientific Corporation,73489363770
CME Group Inc.,73291701083
"Fiserv, Inc.",73202554483
"HCA Healthcare, Inc.",73175649258
Illinois Tool Works Inc.,71297588138
"Activision Blizzard, Inc",71181646046
"Equinix, Inc.",70532986440
Duke Energy Corporation (Holding Company),70288528982
"Micron Technology, Inc.",69650232522
Sherwin-Williams Company (The),69468699540
FedEx Corporation,66059205171
Aon plc,65741012217
KLA Corporation,65346729935
"PayPal Holdings, Inc.",65245385101
Northrop Grumman Corporation,65084593072
"Synopsys, Inc.",64823017177
"Waste Management, Inc.",64351801621
"Palo Alto Networks, Inc.",64134694722
Intercontinental Exchange Inc.,63734283637
"Air Products and Chemicals, Inc.",63272413581
"Charter Communications, Inc.",62932140344
CSX Corporation,61935406680
Colgate-Palmolive Company,61629853437
General Dynamics Corporation,61276213340
Humana Inc.,60762631654
Target Corporation,60561239513
Marriott International,60271239997
Monster Beverage Corporation,60085650293
Moody’s Corporation,60008170000
"Cadence Design Systems, Inc.",59943285720
Marathon Petroleum Corporation,57825449488
McKesson Corporation,56717006874
Occidental Petroleum Corporation,56681568220
"O’Reilly Automotive, Inc.",56522324456
U.S. Bancorp,56474449436
"Estee Lauder Companies, Inc. (The)",56003044623
"Arista Networks, Inc.",55891684799
"Freeport-McMoRan, Inc.",55682405984
Pioneer Natural Resources Company,55454957524
3M Company,55204764744
Emerson Electric Company,54743986919
"Roper Technologies, Inc.",51684358159
Ecolab Inc.,51120832419
Parker-Hannifin Corporation,51031053903
"Chipotle Mexican Grill, Inc.",51015016997
Phillips 66,50869691865
Amphenol Corporation,50835765835
NXP Semiconductors N.V.,50676169200
"Ventas, Inc.",50551953047
Cintas Corporation,49389425174
"PNC Financial Services Group, Inc. (The)",49064967725
Norfolk Southern Corporation,48152211047
Public Storage,47892431291
Ford Motor Company,47866618001
Hess Corporation,47766412551
Arthur J. Gallagher & Co.,47529846652
