Company,Market Cap
APPLE INC,2837000000000
MICROSOFT CORP.,2681000000000
ALPHABET INC (GOOGLE) CLASS C,1639000000000
"AMAZON.COM, INC.",1453000000000
NVIDIA CORPORATION,1160000000000
"META PLATFORMS, INC.",823769000000
BERKSHIRE HATHAWAY INC.,758229000000
"TESLA, INC.",667510000000
ELI LILLY AND COMPANY,561344000000
UNITEDHEALTH GROUP INCORPORATED,498535000000
VISA INC.,492072000000
WALMART INC.,441201000000
JP MORGAN CHASE & CO.,417144000000
EXXON MOBIL CORPORATION,412471000000
BROADCOM INC.,376159000000
MASTERCARD INCORPORATED,363820000000
JOHNSON & JOHNSON,354881000000
PROCTER & GAMBLE COMPANY (THE),354358000000
ORACLE CORPORATION,307303000000
"HOME DEPOT, INC. (THE)",287889000000
CHEVRON CORPORATION,267137999999
ADOBE INC.,263045000000
"QUOIN PHARMACEUTICALS, LTD. DR",262106000000
"MERCK & COMPANY, INC.",259433000000
COSTCO WHOLESALE CORPORATION,249382000000
COCA-COLA COMPANY (THE),244965000000
ABBVIE INC.,243715000000
"PEPSICO, INC.",228447000000
BANK OF AMERICA CORPORATION,217865000000
ALIBABA GROUP HOLDINGS LTD. DR,214751000000
"CISCO SYSTEMS, INC.",210628000000
"SALESFORCE, INC.",204340000000
ACCENTURE PLC,197208000000
MCDONALD'S CORPORATION,193601000000
"NETFLIX, INC.",190456000000
ADVANCED MICRO DEVICES INC,183343000000
THERMO FISHER SCIENTIFIC INC,171654000000
"T-MOBILE US, INC.",169875000000
"PFIZER, INC.",167572000000
WALT DISNEY COMPANY (THE),165302000000
COMCAST CORPORATION,164545000000
"NIKE, INC.",162855000000
ABBOTT LABORATORIES,162408000000
INTEL CORPORATION,159365000000
VERIZON COMMUNICATIONS INC.,149750000000
WELLS FARGO & COMPANY,146718000000
PDD HOLDINGS INC. DR,145680000000
DANAHER CORPORATION,144475000000
INTUIT INC.,144205000000
AMGEN INC.,141319000000
PHILIP MORRIS INTERNATIONAL INC,139406000000
CONOCOPHILLIPS,135543000000
INTERNATIONAL BUSINESS MACHINES CORPORATION,133881000000
QUALCOMM INCORPORATED,133670999999
TEXAS INSTRUMENTS INCORPORATED,130118000000
UNION PACIFIC CORPORATION,128156000000
"SERVICENOW, INC.",127051000000
GENERAL ELECTRIC COMPANY,123086000000
S&P GLOBAL INC.,122817000000
MORGAN STANLEY,121769000000
HONEYWELL INTERNATIONAL INC.,121091000000
"APPLIED MATERIALS, INC.",119767000000
"UNITED PARCEL SERVICE, INC.",119413000000
"CATERPILLAR, INC.",119202000000
RTX CORPORATION,118526000000
BLACKSTONE INC.,117143000000
STARBUCKS CORPORATION,117094000000
BOEING COMPANY (THE),116960000000
"NEXTERA ENERGY, INC.",112269000000
AT&T INC.,111755000000
AMERICAN EXPRESS COMPANY,111039000000
"LOWE'S COMPANIES, INC.",109935000000
LOCKHEED MARTIN CORPORATION,109774000000
DEERE & COMPANY,106451000000
"ELEVANCE HEALTH, INC.",106451000000
BOOKING HOLDINGS INC. COMMON STOCK,105028000000
"GOLDMAN SACHS GROUP, INC. (THE)",104610000000
"TJX COMPANIES, INC. (THE)",104180000000
"UBER TECHNOLOGIES, INC.",102996000000
STRYKER CORPORATION,102891000000
BRISTOL-MYERS SQUIBB COMPANY,102572000000
CHARLES SCHWAB CORPORATION (THE),98631000000
"MARSH & MCLENNAN COMPANIES, INC.",97574000000
"BLACKROCK, INC.",96966000000
"INTUITIVE SURGICAL, INC.",95904000000
VERTEX PHARMACEUTICALS INCORPORATED,94974000000
"MONDELEZ INTERNATIONAL, INC.",93820000000
PROGRESSIVE CORPORATION (THE),93811000000
"GILEAD SCIENCES, INC.",93428000000
MEDTRONIC PLC.,93257000000
"AUTOMATIC DATA PROCESSING, INC.",93169000000
CHUBB LIMITED,89280000000
"REGENERON PHARMACEUTICALS, INC.",87186000000
"EATON CORPORATION, PLC",87134000000
CVS HEALTH CORPORATION,85887000000
LAM RESEARCH CORPORATION,85699000000
THE CIGNA GROUP,84541000000
"ANALOG DEVICES, INC.",83283000000
"MICRON TECHNOLOGY, INC.",80782000000
"CITIGROUP, INC.",79426000000
ZOETIS INC.,78339000000
CME GROUP INC.,77895000000
SHOPIFY INC.,77437000000
"SYNOPSYS, INC.",76828000000
"PALO ALTO NETWORKS, INC.",75401000000
